planning_id,task_id
32023,19286
32024,18820
32025,18820
32026,18817
32027,18817
32028,18817
32029,19259
32030,18812
32031,18817
32032,18820
32033,18812
32034,19307
32035,19259
32036,19312
32037,19313
32038,19315
32039,19316
32040,19317
32041,17568
32042,18249
32043,19314
32045,18762
32046,19321
32047,19318
32048,19174
32049,
32050,18779
32051,19025
32052,
32053,6279
32054,8720
32055,19343
32056,19348
32057,19339
32058,18320
32059,19300
32060,17926
32061,19350
32062,19336
32063,12189
32064,12955
32065,12972
32066,18389
32067,8189
32068,18820
32069,19337
32070,19340
32071,18819
32072,18817
32073,18817
32074,18818
32075,14910
32076,18816
32077,18812
32078,18812
32079,19259
32080,19351
32081,19338
32082,14842
32083,17048
32084,18946
32085,17923
32086,19032
32087,19249
32088,19323
32089,18952
32090,18975
32091,19324
32092,19328
32093,19332
32094,19269
32096,19270
32098,19320
32099,18972
32100,19291
32101,19289
32102,18869
32103,19342
32104,18895
32105,18932
32106,18571
32107,19315
32108,18622
32110,19043
32111,19339
32112,19054
32113,19053
32114,19053
32115,19303
32117,19244
32118,18226
32119,19326
32120,19325
32121,19327
32122,19349
32123,18236
32124,19107
32125,19006
32126,18230
32127,19065
32129,19353
32130,
32131,17699
32132,19356
32133,19354
32134,19253
32135,19357
32136,19178
32137,19347
32138,19341
32140,17928
32141,17086
32142,17105
32143,17084
32144,19272
32145,19310
32146,19285
32147,19284
32148,19283
32149,19282
32150,19281
32151,19280
32152,19278
32153,19277
32154,19276
32155,19275
32156,19274
32157,19057
32158,19355
32159,19355
32160,19355
32161,
32162,19025
32163,19373
32164,18864
32165,18842
32166,18846
32167,18945
32168,18404
32169,19092
32170,17926
32171,18233
32172,18233
32173,18227
32174,18229
32175,19249
32176,19379
32177,19393
32178,19336
32179,19374
32180,16527
32181,19358
32183,19365
32184,19339
32185,19362
32186,19184
32189,18945
32190,19395
32191,19131
32192,19361
32193,19077
32194,19364
32195,19363
32196,19015
32197,19367
32198,19368
32199,19369
32200,19370
32201,19382
32202,19371
32203,18812
32204,19304
32205,19356
32206,19394
32207,19397
32208,19000
32209,
32210,19373
32211,18234
32212,18234
32213,18386
32214,19400
32215,18864
32216,18842
32217,19179
32218,19404
32219,19404
32220,18761
32221,17766
32222,17535
32223,17909
32224,19249
32225,19398
32226,18923
32227,19408
32228,19408
32229,19407
32230,19407
32231,19409
32232,19410
32233,19411
32234,19411
32235,16527
32236,19317
32237,19396
32238,18237
32239,4327
32240,18237
32241,19399
32242,19313
32243,19405
32244,19198
32245,19012
32246,19288
32247,18523
32248,18524
32249,18812
32250,18812
32251,18816
32252,19319
32253,18812
32254,18818
32255,18820
32256,18819
32257,18817
32258,19414
32259,18233
32260,18236
32261,16358
32262,16358
32263,16358
32264,16358
32265,16357
32266,16358
32267,19393
32268,19418
32269,18932
32270,19316
32271,19424
32272,18232
32273,19412
32274,19380
32275,19420
32276,19133
32277,19419
32278,19421
32279,19422
32280,19413
32281,18226
32282,17033
32283,19377
32284,19216
32285,19012
32286,19425
32287,19412
32288,19401
32290,19403
32291,18998
32292,13619
32293,13834
32294,14842
32295,12189
32296,19259
32297,18823
32298,18760
32299,18962
32300,19085
32301,19332
32302,19269
32303,18817
32304,19352
32305,19359
32308,19345
32309,19345
32310,4327
32311,18761
32312,12909
32313,19404
32314,19398
32315,18237
32316,18864
32317,18842
32318,19138
32319,18735
32320,19433
32321,19434
32322,19436
32323,17535
32324,19427
32325,19430
32326,19429
32327,19429
32328,19413
32329,19402
32330,18235
32331,19183
32332,19426
32333,18232
32334,18812
32335,19408
32336,19354
32337,19435
32338,19018
32339,19025
32340,7427
32341,18112
32342,
32343,19400
32344,19207
32345,19462
32346,19420
32347,19402
32348,19303
32349,18230
32350,19427
32351,18227
32352,18233
32353,18238
32354,19012
32355,19276
32356,19455
32357,19460
32358,19442
32359,19338
32360,19440
32361,19361
32362,19179
32363,16662
32364,19198
32365,19138
32366,19176
32367,19459
32369,19441
32370,19439
32371,19305
32372,18812
32373,18812
32374,18812
32375,18820
32376,18820
32377,18820
32378,18819
32379,18819
32380,18819
32382,18817
32383,18817
32384,18817
32385,19463
32386,19461
32387,19466
32388,18820
32389,18817
32390,18822
32391,19407
32392,18821
32393,18823
32394,18759
32395,19457
32396,18735
32397,19446
32398,19448
32399,19449
32400,19450
32401,19451
32402,19438
32403,19107
32404,12955
32405,19447
32406,19443
32407,17084
32408,19409
32409,19410
32410,19411
32411,19326
32412,19173
32413,19445
32414,19466
32415,19470
32416,18819
32417,19268
32418,19469
32419,19355
32420,19313
32421,17699
32422,19295
32423,19471
32424,18993
32425,18993
32426,19310
32427,19104
32428,19012
32429,16449
32430,19461
32431,17148
32432,18636
32441,
32442,
32443,
32444,19025
32445,19025
32446,
32447,
32448,19025
32449,7427
32450,19472
32451,18239
32452,18237
32453,18235
32454,8189
32455,19176
32456,19475
32457,19138
32458,19179
32459,19479
32460,19481
32461,19361
32462,19473
32463,19421
32464,18923
32465,18923
32466,378
32467,19485
32468,19476
32469,15154
32470,19480
