planning_id,task_id
9,256
10,270
11,266
12,3172
14,2520
15,328
16,354
17,
18,
19,
20,
21,
23,
24,
25,2687
26,
27,
28,1311
29,
30,
31,
32,
33,225
34,3207
35,2224
36,2982
37,928
38,2921
39,2287
40,
41,1721
42,2833
43,1751
44,377
45,1753
46,3206
47,377
48,2795
49,377
50,377
51,3206
52,377
53,2775
54,327
55,1311
56,354
57,2775
58,2687
59,1311
60,1311
61,
62,327
63,
64,
65,1751
66,3040
67,1061
68,2687
69,
70,
71,2224
72,
73,2921
74,2922
75,2833
76,1721
77,2588
78,769
79,2471
80,819
81,2563
82,
83,
84,
85,2384
86,2287
87,2542
88,3001
89,1737
90,328
91,3174
96,
99,3609
109,3211
110,
111,
112,
113,
114,
115,1311
116,
117,1311
118,
119,1311
120,
121,1448
122,1751
123,328
124,328
125,899
126,378
127,
128,
129,
130,
131,769
132,
133,1721
134,
135,1721
136,1311
137,3040
138,2384
139,2563
140,1721
141,1314
142,
143,2372
144,2922
145,2833
146,1443
147,2371
148,2921
149,1445
150,2588
151,2941
152,3202
153,3212
154,3203
164,
165,3172
166,
168,
169,2384
170,2542
171,1760
172,3227
173,2775
175,3040
177,1311
178,2941
179,2372
180,328
181,2830
182,324
183,1721
184,2921
185,1721
186,2921
187,2833
188,2371
189,2372
190,3040
191,3157
192,354
193,398
194,899
195,
196,2921
197,1721
198,2833
199,2922
200,
201,
202,
203,409
204,
205,3172
206,
207,
208,
209,
210,2287
211,2148
212,1706
213,398
214,983
215,2922
216,1751
217,1311
218,3133
219,3132
220,3277
221,3275
222,3276
223,3130
224,3224
225,3274
226,3129
227,3134
228,3273
229,3131
230,3295
231,
232,2518
233,2517
234,2525
235,2511
236,2563
237,2514
241,2539
242,2536
243,2945
244,2945
245,2956
246,2947
247,2953
248,2944
251,
252,
253,2687
254,1441
255,
256,2921
257,2371
258,
259,
260,
261,2921
262,1448
263,324
264,2833
265,
266,1721
267,2588
268,1721
269,
270,
271,
272,
273,
274,3198
275,3199
276,3202
277,3211
278,3212
279,3203
280,3204
281,3213
282,3220
283,2513
284,3302
285,2870
286,2870
287,3219
288,3268
289,2704
290,3136
291,2563
295,2537
296,2537
297,2537
298,2537
299,538
300,
301,
302,3303
303,3304
304,3001
305,2962
306,2997
307,3253
308,3306
309,2941
310,3307
311,3308
312,3310
313,3310
314,3310
315,3310
316,3310
317,3310
318,3310
319,3310
320,3310
321,3310
322,3310
323,3310
324,3310
325,3310
326,2870
327,3313
328,2871
329,3315
330,2588
331,2563
332,
333,1311
334,
335,
336,2371
337,3040
338,
339,
340,3248
341,2133
342,
343,
344,
345,409
346,
347,
348,3143
349,2542
350,328
351,324
352,2775
353,
354,2921
355,
356,1721
357,225
358,
359,
360,
361,
362,3206
363,1753
364,3299
365,
366,
367,
368,
369,
370,
371,
373,2563
374,2588
375,
376,
378,2687
379,983
380,986
381,3030
382,2542
383,2371
384,928
385,
386,3040
387,2372
388,331
389,1706
390,1314
391,986
392,1721
393,2921
394,2133
395,409
396,2833
397,2707
398,1614
399,
400,
401,2372
402,
403,1751
404,2951
405,2952
406,2945
407,2537
408,2513
409,2495
410,
411,2588
412,
413,1311
414,1311
415,
416,2371
417,
418,1721
419,2133
420,2577
421,2921
422,
423,
424,2133
425,378
426,328
427,
428,2921
429,2833
430,578
431,
432,1448
434,
435,2588
436,2536
437,2536
438,2539
439,
440,
441,
442,
443,327
444,3303
445,324
446,2372
447,
448,3248
449,1445
450,1721
451,1721
452,1721
453,
454,324
455,
456,
457,
458,
459,
460,
461,716
462,
463,
464,2939
465,1614
466,1614
467,331
468,2542
469,3030
470,2287
471,2911
472,3189
473,928
474,3172
475,751
476,2921
477,356
478,3040
479,1311
480,2588
481,
482,2563
483,3042
484,2372
485,
486,
487,1721
488,2833
489,328
490,3001
491,2224
492,2287
493,225
494,769
495,331
496,331
497,3190
498,2148
499,
500,328
501,
502,
503,
504,
505,
506,
507,
508,
509,
510,3376
511,2525
512,2514
513,538
514,2511
515,
516,2520
517,
518,
519,2704
520,2704
521,2537
522,
523,2539
524,
525,2537
526,2954
527,2955
528,
529,356
530,3248
531,2775
532,
533,
534,3376
535,3383
536,378
538,
539,2588
540,865
541,2833
542,1721
543,578
544,2557
545,1614
546,
547,3172
548,3332
549,
551,2830
552,2287
553,1630
554,
555,
556,
557,
558,3318
559,2133
560,3321
562,2542
563,
564,3383
565,
566,3213
567,3214
568,3425
570,
571,3427
572,3304
573,3030
574,3308
575,2997
576,2557
577,865
578,2563
579,
580,2364
582,3388
583,3389
584,3390
585,2364
586,2364
587,3278
588,3287
589,3294
590,2158
591,2197
592,2157
593,3277
594,3206
595,3375
596,3375
597,
598,327
599,1706
600,2774
601,3292
602,
603,1311
604,
605,1449
606,1441
607,
608,3332
609,1706
610,1614
611,3230
612,1706
613,2708
614,2148
615,2921
616,3379
617,225
618,225
619,
620,2833
621,1721
622,
623,
624,2133
625,1441
626,3397
627,2372
628,3383
629,3460
630,3461
631,2945
632,2835
633,3463
634,3465
635,538
636,3462
637,3464
638,3466
639,2953
640,2953
641,2958
642,2959
643,2537
644,3475
645,3378
646,2859
647,328
648,
649,
650,3411
651,
652,3248
653,356
654,2372
655,3040
656,2921
657,1441
658,3040
659,
660,
661,
662,
663,
664,225
665,225
666,716
667,1721
668,2833
669,2921
670,2921
671,2133
672,578
673,769
674,3492
675,
676,
677,2830
678,
679,
680,
681,
682,324
683,
684,2588
685,2859
686,2133
687,2833
688,2921
689,2921
690,3430
691,324
692,3308
693,2372
694,356
695,3040
696,
697,3487
698,3205
700,3214
701,3235
702,3232
703,3480
704,3478
705,3479
706,3502
707,3503
708,3504
709,3493
710,3513
711,3514
712,324
713,2921
714,3310
716,3310
717,328
718,
719,409
720,
721,2471
722,
723,
724,
725,2558
726,3430
727,1614
728,
729,2287
730,2911
731,
732,328
733,2365
734,2148
735,331
736,2921
737,2922
738,2434
739,
740,
741,1721
742,
743,2833
744,
745,3397
746,3333
747,
748,
749,
750,3519
751,3307
752,2962
753,3030
754,3523
755,3529
756,3530
757,
758,2372
759,328
760,327
761,2720
762,3248
763,3487
764,378
765,2471
766,
767,
768,3248
769,378
770,3421
771,2703
772,
773,3468
774,3334
775,3430
777,2148
778,324
779,
780,1614
781,1630
782,
783,
784,
785,
786,2152
787,1721
788,
789,
790,2922
791,
792,2921
793,2911
794,2911
795,
796,2911
797,225
798,2133
799,578
800,
801,
802,2224
803,
804,
806,
807,3492
808,3550
809,3551
810,3287
