planning_id,task_id
51709,27051
51710,27150
51714,27156
51717,27152
51723,27155
51724,27156
51735,26699
51736,27024
51737,26785
51738,26004
51739,26445
51740,27075
51741,26725
51742,26445
51743,26403
51744,26823
51745,27077
51746,23803
51747,26673
51748,27166
51749,27165
51750,27163
51751,27167
51752,27169
51753,26903
51754,27172
51755,27175
51756,27176
51757,27177
51758,26209
51759,27178
51760,27108
51761,27178
51762,26201
51763,26533
51764,26026
51765,12862
51766,27103
51767,27180
51768,27160
51769,27162
51770,26581
51771,27078
51772,27110
51773,27171
51774,27171
51775,27170
51776,27040
51777,26755
51778,26862
51779,27047
51780,26666
51781,26797
51782,27100
51783,27182
51784,27079
51785,27183
51786,27184
51787,27149
51788,22218
51789,12955
51790,26961
51791,27082
51793,26951
51795,27187
51796,27190
51797,27185
51798,27191
51799,27192
51800,27193
51801,27193
51804,27193
51805,27082
51806,23919
51807,27174
51808,27173
51809,27173
51810,27173
51811,27173
51812,26802
51813,27173
51814,27173
51815,26743
51819,25531
51820,26520
51821,26864
51822,26864
51823,26961
51824,27081
51825,27098
51826,26951
51828,27041
51830,27190
51831,26879
51832,27175
51833,22218
51834,27151
51835,27152
51836,27152
51837,27152
51839,27153
51842,27154
51848,27155
51849,27158
51850,27155
51851,27158
51852,27158
51853,27157
51854,27157
51855,27079
51856,27233
51857,27079
51858,26876
51861,26852
51862,27113
51863,27110
51865,26138
51866,26144
51867,26145
51868,26250
51869,26294
51870,17972
51871,27199
51872,27196
51873,27189
51874,26852
51875,26852
51877,26962
51878,26962
51879,12955
51880,27168
51881,27198
51882,26102
51883,378
51884,27197
51885,27027
51886,26611
51887,26729
51888,27164
51889,26673
51890,23803
51891,27119
51892,26201
51894,26986
51895,27023
51896,27093
51897,27138
51898,27061
51899,26194
51900,27207
51901,27099
51902,27013
51903,
51904,
51905,
51906,
51907,
51908,
51909,
51910,26684
51911,27040
51912,27182
51913,26686
51914,27160
51915,27160
51916,26004
51917,26004
51918,27222
51919,27046
51920,27044
51921,27141
51922,27217
51923,27223
51924,27221
51925,27206
51926,26614
51927,27210
51928,27211
51930,27216
51931,26852
51932,27160
51933,27220
51935,27205
51937,26725
51938,27224
51940,27213
51941,27224
51942,27225
51943,27112
51944,27112
51945,26747
51946,26747
51947,26800
51948,26800
51949,27183
51950,27184
51951,26743
51952,26743
51953,26445
51954,26445
51955,26445
51956,26862
51957,27088
51958,26725
51959,26686
51960,26687
51961,27204
51962,328
51963,27234
51964,26882
51965,26823
51966,26403
51967,26532
51968,26689
51969,26796
51970,27010
51971,27230
51972,27203
51973,27229
51974,27231
51975,27079
51977,27212
51978,22218
51979,22218
51980,27215
51981,27226
51982,27151
51983,26729
51984,26729
51985,27013
51986,27237
51987,26201
51988,27078
51990,27141
51991,27214
51992,27124
51993,23803
51994,27246
51996,27227
51997,27255
51998,27258
51999,27259
52000,27260
52001,27262
52002,27263
52003,27263
52004,27267
52005,27269
52006,26686
52007,26687
52008,27230
52009,26461
52010,27273
52011,27045
52012,27080
52013,27088
52014,27088
52015,27264
52016,27268
52017,27254
52018,26684
52019,26574
52020,27186
52021,25531
52022,27238
52023,27240
52024,27234
52025,26984
52026,27038
52027,27194
52028,27257
52029,23803
52030,27039
52031,27241
52032,27099
52033,27274
52034,21497
52035,26962
52036,26961
52037,26852
52038,27213
52039,26445
52040,27201
52041,26532
52042,27292
52043,27276
52044,27276
52045,25531
52046,26581
52047,26846
52049,26962
52050,26961
52051,26852
52052,27287
52053,27283
52054,26294
52055,27011
52056,27239
52057,22123
52058,22123
52059,27245
52060,27100
52061,27100
52062,27100
52063,27243
52064,27242
52065,27242
52066,27282
52067,27292
52068,27291
52069,27295
52070,26445
52071,27296
52072,4327
52073,22218
52074,27184
52075,27299
52076,27270
52078,25367
52079,27300
52080,27301
52081,27286
52082,27285
52083,26802
52084,26961
52085,27302
52086,26461
52087,27234
52088,27195
52089,27203
52090,27186
52091,27301
52092,27203
52093,27194
52094,26876
52095,27039
52096,27221
52097,27237
52098,27259
52099,27262
52100,27263
52101,26445
52102,27290
52103,27293
52104,27293
52105,27078
52106,23803
52107,27260
52108,27222
52109,27306
52110,27307
52111,27307
52113,26755
52114,26862
52115,26986
52116,27183
52117,26797
52118,26250
52119,27269
52120,26250
52121,26823
52122,27194
52123,26882
52124,26882
52125,27273
52126,26826
52127,25567
52128,12955
52129,12955
52130,26445
52131,27312
52132,27147
52134,
52135,
52136,
52137,
52138,27124
52139,26885
52140,27230
52141,27044
52142,27046
52143,27047
52144,27048
52145,27049
52146,27050
52147,27043
52148,27043
52149,27045
52150,26970
52151,21497
52152,27051
52153,27196
52154,25460
52157,27311
52158,27233
52159,26532
52160,27310
52161,27283
52162,27287
52163,26862
52164,26862
52165,27149
52166,27300
52169,27159
52170,27159
52171,27159
52176,26952
52179,27195
52180,27205
52181,26876
52182,27234
52183,27013
52184,27216
52185,27262
52186,27237
52187,27246
52188,27313
52189,25567
52190,26201
52191,26201
52192,27321
52193,27203
52194,26823
52195,27291
52196,27078
52197,27325
52198,27324
52199,25625
52200,26445
52201,27168
52202,26785
52203,27328
52204,26729
52205,27297
52206,27319
52207,27318
52208,27317
52209,27329
52210,27316
52211,27314
52212,27315
52213,27281
52214,27330
52215,27331
52216,27275
52217,26574
52218,27332
52219,27277
52220,27009
52221,25902
52222,26790
52223,27335
52224,27335
52225,27278
52226,27278
52227,10972
52228,10972
52229,10972
52231,27334
52232,27337
52234,27338
52235,27333
52236,27339
52237,27340
52238,12955
52239,27099
52240,27322
52241,27323
52242,27323
52243,27343
52244,26862
52245,26755
52246,27326
52247,26602
52248,27051
52249,27312
52250,27348
52251,27194
52252,27349
52253,26800
52254,27301
52255,27351
52256,21497
52257,27222
52258,27345
52259,27294
52260,27320
52261,26666
52262,27345
52263,27345
52264,27320
52265,27257
52266,27309
52268,27327
52269,27347
52270,27230
52271,27352
52272,27149
52273,27350
52274,27354
52275,27356
52276,27355
52277,27336
52278,27358
52279,27139
52280,27128
52281,27206
52282,27124
52283,27235
52284,27308
52285,27272
52286,27357
52287,27353
52288,27263
52289,27032
52290,26876
52291,27329
52292,27108
52293,26960
52294,26684
52295,26823
52296,27345
52297,27228
52298,27362
52299,27267
52300,27032
52301,26876
52302,27269
52303,27153
52304,26372
52305,27290
52306,27154
52307,27157
52309,27149
52311,27193
52312,27364
52313,27355
52314,27366
52315,27369
52316,27368
52317,27367
52318,27370
52319,27371
52320,27372
52321,27373
52322,27374
52323,27375
52324,27376
52325,27377
52326,27378
52327,27379
52328,27380
52329,27381
52330,27382
52331,27383
52332,27384
52333,27385
52334,27386
52335,27387
52336,27388
52337,27389
52338,27390
52339,27391
52340,27393
52341,27395
52342,27396
52344,27398
52345,27399
52346,27400
52347,27401
52348,27402
52349,
52352,26201
52353,27078
52354,27319
52355,26445
52356,26612
52357,27349
52358,27328
52359,27317
52360,27405
52361,27408
52362,27168
52363,
52364,27332
52365,27331
52366,27419
52367,27420
52368,27194
52369,27051
52370,27302
52371,22218
52372,27245
52373,27203
52374,27039
52375,26826
52376,27286
52377,27407
52378,27340
52379,27340
52380,27357
52381,27346
52382,26970
52383,27360
52384,27363
52385,27353
52386,27361
52387,27421
52388,27043
52389,27421
52390,27328
52391,27365
52392,27305
52393,27045
52394,27042
52395,27318
52396,27422
52397,27425
52398,27425
52399,27079
52400,27342
52401,27342
52402,27342
52403,27100
52406,27147
52407,27100
52408,27100
52409,27100
52410,27100
52411,27100
52412,27100
52413,27100
52414,27100
52415,27100
52416,27100
52417,27100
52421,27424
52422,27286
52423,27241
52424,27433
52425,27013
52426,27353
52427,27432
52428,27431
52429,27430
52430,27149
52431,27366
52432,12955
52433,27194
52434,21633
52435,21633
52436,21633
52438,21633
52439,21633
52440,27302
52441,27300
52442,27315
52443,26693
52444,27302
52446,27269
52447,27296
52448,27357
52449,27268
52450,27351
52452,27407
52453,27232
52454,27427
52455,26294
52456,27239
52457,27332
52458,27332
52459,27245
52463,27435
52465,27269
52466,27267
52467,27061
52468,27188
52469,27138
52470,26602
52471,27297
52472,27438
52473,27437
52474,27408
52475,27133
52476,27328
52477,27051
52478,27436
52479,27042
52480,27148
52481,27045
52482,26194
52483,27080
52484,27207
52485,27310
52486,27353
52487,26717
52488,27444
52489,27445
52490,27454
52491,27437
52492,27375
52493,27233
52494,27367
52495,27234
52496,27453
52497,24369
52498,27099
52499,27181
52500,27099
52501,27307
52502,27307
52503,27307
52505,27456
52506,27436
52507,27353
52508,27353
52509,27353
52510,27458
52511,27459
52512,26201
52513,27337
52514,27307
52515,27307
52516,27235
52517,27307
52518,27307
52519,27307
52520,27373
52521,27357
52522,25460
52523,27230
52524,27457
52525,12955
52526,27364
52527,13326
52528,27152
52529,27153
52530,27397
52531,27372
52532,27353
52533,27125
52534,27406
52548,27427
52549,27460
52550,27426
52551,27433
52552,27465
52553,27343
52554,27232
52555,27469
52556,27267
52557,27148
52558,26656
52559,27201
52560,27397
52561,27435
52562,27425
52564,27302
52565,27445
52566,12955
52567,27340
52568,26581
52569,27440
52570,27441
52571,27442
52572,27443
52573,27409
52574,27414
52575,27377
52576,27357
52577,26213
52578,27389
52579,27424
52580,27475
52581,26666
52582,27407
52583,27269
52584,25567
52585,27466
52586,27480
52587,27462
52588,27481
52589,27355
52590,27327
52591,27483
52592,27484
52593,27374
52594,26717
52595,27482
52596,27485
52597,27387
52598,27331
52600,27078
52601,26689
52602,27369
52603,26729
52604,27370
52605,26445
52606,27486
52607,27487
52608,27488
52609,27476
52610,27346
52611,27045
52612,27045
52613,27039
52614,27038
52615,27397
52616,27490
52617,27489
52618,22218
52619,27491
52620,27357
52621,27370
52622,27369
52623,22218
52624,27410
52625,27314
52626,27275
52627,26445
52628,26574
52629,27198
52630,26693
52631,26693
52632,27314
52633,26445
52634,27061
52635,27297
52636,27138
52637,27412
52638,27471
52639,27470
52640,27210
52641,27379
52642,27045
52643,27042
52644,27422
52645,27380
52646,27397
52647,27381
52648,27371
52649,27340
52650,27363
52651,27374
52652,27390
52653,27375
52654,27376
52655,27395
52656,27396
52657,27391
52658,27421
52660,27393
52661,27386
52662,27398
52663,27399
52664,27400
52665,27401
52666,27397
52667,27402
52668,27391
52669,27396
52670,27156
52671,27151
52672,27372
52673,27376
52674,27377
52675,27378
52677,27011
52678,27093
52679,27226
52680,27201
52681,26729
52682,27491
52683,27418
52684,27462
52685,27480
52686,27520
52687,27410
52688,27521
52689,27523
52690,27099
52691,27280
52693,27483
52694,27269
52695,26194
52696,27207
52697,27173
52698,25567
52699,27522
52700,27455
52701,26823
52702,27527
52703,27525
52704,27148
52705,27286
52706,27407
52707,27353
52708,27384
52709,27384
52710,27181
52711,27391
52712,27532
52713,27353
52714,27396
52715,27385
52716,27385
52717,27397
52718,27421
52719,27540
52720,27541
52721,27323
52722,27545
52723,27535
52724,27536
52725,27537
52726,27538
52727,27539
52728,27534
52729,27546
52730,27547
52731,27548
52732,27099
52733,12955
52734,27530
52735,27531
52736,27457
52738,27395
52739,27545
52740,27393
52741,27541
52742,27286
52743,27540
52744,25567
52745,27547
52746,27548
52747,27152
52748,27549
52749,27550
52750,26729
52751,27486
52752,10972
52753,26611
52754,27201
52755,26693
52756,26445
52757,26828
52758,27533
52759,
52760,27484
52761,27563
52762,27563
52763,27563
52764,27490
52765,27483
52766,27490
52767,27483
52769,27567
52770,27337
52771,27460
52772,27337
52773,27337
52774,27435
52775,27099
52776,27099
52777,27572
52779,26611
52780,27489
52781,27207
52782,26194
52788,27594
52789,27594
52790,27594
52795,27810
52796,27811
52798,24401
52799,27469
52800,27577
52801,27549
52802,27376
52803,27561
52804,27584
52805,27559
52806,27558
52807,27557
52808,27307
52809,27307
52810,27377
52811,27148
52812,27421
52813,27307
52814,26839
52815,27421
52816,27421
52817,26895
52818,12955
52819,27099
52820,27539
52821,27534
52822,27546
52823,27378
52824,27385
52825,27574
52826,27569
52827,27425
52828,27353
